recurrence,amount,notes,description,category,payment_date,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"unico","500","","Rene","Outros","2026-05-15","pago","6a0712670f5e6a5d96e9d684","2026-05-15T12:32:39.686000","2026-05-15T12:32:39.686000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","412.8","","Blumen ","Outros","2026-05-04","pago","69f8f75018c71b10d6b33035","2026-05-04T19:45:20.222000","2026-05-05T13:26:28.115000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","521.27","","Boleto cartão pessoal ","Outros","2026-05-19","pago","69f8f67848a88142107844eb","2026-05-04T19:41:44.620000","2026-05-15T12:32:15.854000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","1032.9","","Cartão loja ","Outros","2026-05-07","pago","69f8f63741e8a34b0e7e4ff7","2026-05-04T19:40:39.044000","2026-05-04T19:40:39.044000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","258.45","","Boleto natura ","Outros","2026-05-04","pago","69f8f2e780297a27b9ef65d4","2026-05-04T19:26:31.815000","2026-05-04T19:26:31.815000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","459.2","","Boleto Boticário ","Outros","2026-05-04","pago","69f8f28ecc7ebdc4b94fbdf4","2026-05-04T19:25:02.276000","2026-05-04T19:25:02.276000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","217.4","","Boleto ","Outros","2026-05-04","pago","69f8f1812d3f1d64f1bec7fb","2026-05-04T19:20:33.785000","2026-05-04T19:20:33.785000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","396.61","","Boleto natura ","Outros","2026-05-05","pago","69f8f0cc657e56804f2a01c2","2026-05-04T19:17:32.754000","2026-05-04T19:43:01.513000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","79.9","","Energia ","Energia","2026-05-20","pago","69f8f09541666a7d6601b0ef","2026-05-04T19:16:37.139000","2026-05-15T12:32:06.580000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"mensal","88","","Mei","Outros","2026-05-18","pendente","69f8f07804c7d6274246058c","2026-05-04T19:16:08.506000","2026-05-04T19:16:08.506000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"mensal","130","","Seguro loja ","Outros","2026-05-20","pago","69f8f0590e4597475300f196","2026-05-04T19:15:37.394000","2026-05-05T13:26:11.205000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"mensal","80","","Seguro carro ","Transporte","2026-05-20","pago","69f8f03f2a01c12f48c2baab","2026-05-04T19:15:11.076000","2026-05-05T13:26:02.371000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"mensal","109.9","","Net ","Internet/Wi-Fi","2026-05-10","pago","69f8f02771a6b2e257262040","2026-05-04T19:14:47.414000","2026-05-04T19:29:58.738000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","58.45","","Água ","Água","2026-05-20","pago","69f8effd2c0db6edebe79ef1","2026-05-04T19:14:05.891000","2026-05-05T13:25:56.410000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","95","","Banner ","Outros","2026-04-29","pago","69f207ece18e26746f78ee87","2026-04-29T13:30:20.922000","2026-04-29T13:30:20.922000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
