unit,current_stock,notes,image_url,name,unit_cost,min_stock,category,id,created_date,updated_date,created_by_id,created_by,is_sample
"UN","5","","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/737807568_image.jpg","Esponja banho ","3.992","2","Outro","69f354cc04da3129bbe3a8ed","2026-04-30T13:10:36.765000","2026-04-30T13:10:55.694000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"UN","2","","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/5896fc555_image.jpg","Necessárie","18.985","2","Outro","69f3548da2fc7d0e74f6e720","2026-04-30T13:09:33.597000","2026-04-30T13:10:01.869000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"UN","6","","","Hidra 100","16.666666666666668","2","Outro","69ecaf2e927fc495940907e1","2026-04-25T12:10:22.869000","2026-04-25T12:10:37.163000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"UN","5","","","Coração acrílico ","7.872","2","Outro","69ebbb4800794e9b919a6c83","2026-04-24T18:49:44.258000","2026-04-24T18:49:56.518000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"UN","0","","","Garrafa de água ","0","2","Outro","69ebb7100aa76fc2faebfa5f","2026-04-24T18:31:44.030000","2026-04-24T18:31:44.030000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"UN","4","","","Toalha ","12","1","Outro","69ebb59bec5926213ff596d1","2026-04-24T18:25:31.026000","2026-04-24T18:31:56.432000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"UN","1","","","Cest ","18","1","Cesta","69ebab5f7e5b3e8ed83f0fda","2026-04-24T17:41:51.021000","2026-04-24T17:41:59.673000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"UN","9","","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/163efcbdf_image.jpg","Balão coração ","3","2","Outro","69eba88b77baa280ed846f72","2026-04-24T17:29:47.029000","2026-04-29T13:35:14.952000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"UN","18","","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/8a843f6a3_image.jpg","Xícara amor ","15.58","3","Outro","69eba72dad6c38e866621879","2026-04-24T17:23:57.391000","2026-04-24T17:26:05.182000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"UN","0","","","Xícaras ","0","2","Outro","69e130e8ffbbbf9cc5390558","2026-04-16T18:56:40.384000","2026-04-16T18:56:40.384000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"UN","8","","","Caneca pequena ","11.385","2","Outro","69e12c2aef1b9dc7a96578dd","2026-04-16T18:36:26.971000","2026-04-16T18:56:55.353000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"UN","1","","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/d373a6d5d_image.jpg","Organizador acrílico ","14","1","Outro","69e0d8eb57313c74b82dfc4e","2026-04-16T12:41:15.244000","2026-04-16T12:41:28.656000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"UN","1","","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/4492e447e_image.jpg","Bloco anotação ","4","0","Laço","69e0d8a51f9a02ff0e4c6ab4","2026-04-16T12:40:05.752000","2026-04-16T12:40:25.617000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
