margin_percentage,quantity,notes,total_cost,image_url,cosmetic_items,mercadoria_items,estimated_profit,additional_costs,final_price,suggested_price,name,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"100","1","","7.5","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/add76b5f9_image.jpg","[]","[{""mercadoria_id"":""69dd2370bd2791728267c507"",""unit_cost"":7.5,""quantity"":1,""mercadoria_name"":""Mini almofada ""}]","7.5","{""other"":0,""labor"":0}","15","15","Kit almofada ","active","69fb4ddecc30518dfdfbe0e1","2026-05-06T14:19:10.703000","2026-05-06T14:19:10.703000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"100","1","","65.717","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/48d72bd1b_image.jpg","[{""quantity"":1,""product_name"":""Creme de mãos "",""product_id"":""69d6b0ef8a20d1f57d82ad17"",""cost_price"":12.68},{""quantity"":1,""product_name"":""Creme eudora baunilha "",""product_id"":""69d69b382c39edede925ce3f"",""cost_price"":36.68}]","[{""mercadoria_id"":""69dd2370bd2791728267c507"",""unit_cost"":7.5,""quantity"":1,""mercadoria_name"":""Mini almofada ""},{""mercadoria_id"":""69d3f6ca8995ccb815259524"",""unit_cost"":0.3795,""quantity"":2,""mercadoria_name"":""Fita plástica ""},{""mercadoria_id"":""6966338534a1c278a4b929ae"",""unit_cost"":7.5,""quantity"":1,""mercadoria_name"":""Cestas quadrada “com amor “ 15x15x4""},{""mercadoria_id"":""696545a7e25ac39e77e46dcd"",""unit_cost"":0.43799999999999994,""quantity"":1,""mercadoria_name"":""Saco transparente 30x44 cm ""},{""mercadoria_id"":""69848acee9e6a0b83690e106"",""unit_cost"":0.16,""quantity"":1,""mercadoria_name"":""Feliz dian""}]","64.283","{""other"":0,""labor"":0}","130","131.434","Kit eudora e almofada ","active","69fb4d74aaf69c3967d05e2f","2026-05-06T14:17:24.573000","2026-05-06T14:17:24.573000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"80","3","","30.34433333333333","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/b9b687945_image.jpg","[{""quantity"":1,""product_name"":""Sabonete líquido 75ml "",""product_id"":""69d6ab65c9253a150ea4ea47"",""cost_price"":18.74},{""quantity"":1,""product_name"":""Mini sabonete "",""product_id"":""69809aa1583fc1dc59593161"",""cost_price"":1.96}]","[{""mercadoria_id"":""69dd29096d861763f08685fb"",""unit_cost"":4.4991666666666665,""quantity"":1,""mercadoria_name"":""Chaveiro ursinho ""},{""mercadoria_id"":""696545a7e25ac39e77e46dcd"",""unit_cost"":0.43799999999999994,""quantity"":1,""mercadoria_name"":""Saco transparente 30x44 cm ""},{""mercadoria_id"":""696546423d5eec31be8fd890"",""unit_cost"":0.529,""quantity"":1,""mercadoria_name"":""Papel de seda 49x69""},{""mercadoria_id"":""698236c35c095b6cd25b046f"",""unit_cost"":0.377,""quantity"":0.5,""mercadoria_name"":""Fita plástica ""},{""mercadoria_id"":""69b852f220026093608ffb23"",""unit_cost"":3.9896666666666665,""quantity"":1,""mercadoria_name"":""Mini cesta 11cm""}]","23.65566666666667","{""other"":0,""labor"":0}","54","54.6198","Kit com sabonete líquido 75ml","active","69f901d3d99aec91ab0e4b11","2026-05-04T20:30:11.160000","2026-05-04T20:30:11.160000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"80","1","","64.382","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/047c4e799_image.jpg","[{""quantity"":1,""product_name"":""Kit sabonete "",""product_id"":""69f35432befdea4fc20d88c0"",""cost_price"":37.43}]","[{""mercadoria_id"":""69f3548da2fc7d0e74f6e720"",""unit_cost"":18.985,""quantity"":1,""mercadoria_name"":""Necessárie""},{""mercadoria_id"":""696545a7e25ac39e77e46dcd"",""unit_cost"":0.43799999999999994,""quantity"":1,""mercadoria_name"":""Saco transparente 30x44 cm ""},{""mercadoria_id"":""696546423d5eec31be8fd890"",""unit_cost"":0.529,""quantity"":1,""mercadoria_name"":""Papel de seda 49x69""},{""mercadoria_id"":""69dd29bbb08cced82cc42890"",""unit_cost"":7,""quantity"":1,""mercadoria_name"":""Cesta oval 18""}]","50.617999999999995","{""other"":0,""labor"":0}","115","115.8876","Kit com sabonete Eudora e creme de mão ","active","69f8f80f7e2e373fbfd1f9dc","2026-05-04T19:48:31.567000","2026-05-04T19:48:31.567000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"70","1","","104.869","","[{""quantity"":1,""product_name"":""Presente seve "",""product_id"":""69ceb67c52b8efcf72598508"",""cost_price"":73.43},{""quantity"":1,""product_name"":""Sabonete massageador "",""product_id"":""69809882cd75c350ba729562"",""cost_price"":9}]","[{""mercadoria_id"":""69dd29bbb08cced82cc42890"",""unit_cost"":7,""quantity"":1,""mercadoria_name"":""Cesta oval 18""},{""mercadoria_id"":""696546423d5eec31be8fd890"",""unit_cost"":0.529,""quantity"":3,""mercadoria_name"":""Papel de seda 49x69""},{""mercadoria_id"":""69f354cc04da3129bbe3a8ed"",""unit_cost"":3.992,""quantity"":1,""mercadoria_name"":""Esponja banho ""},{""mercadoria_id"":""69d8fb8bfb2ff7afaa50771c"",""unit_cost"":4.93,""quantity"":2,""mercadoria_name"":""Fita juta ""}]","73.131","{""other"":0,""labor"":0}","178","178.2773","Kit seve ","active","69f36c604284131c457f56f4","2026-04-30T14:51:12.880000","2026-04-30T14:51:12.880000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"90","1","","66.042","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/201de149e_image.jpg","[{""quantity"":1,""product_name"":""Kit sabonete "",""product_id"":""69f35432befdea4fc20d88c0"",""cost_price"":37.43}]","[{""mercadoria_id"":""69f3548da2fc7d0e74f6e720"",""unit_cost"":18.985,""quantity"":1,""mercadoria_name"":""Necessárie""},{""mercadoria_id"":""696546423d5eec31be8fd890"",""unit_cost"":0.529,""quantity"":2,""mercadoria_name"":""Papel de seda 49x69""},{""mercadoria_id"":""696545a7e25ac39e77e46dcd"",""unit_cost"":0.43799999999999994,""quantity"":1,""mercadoria_name"":""Saco transparente 30x44 cm ""},{""mercadoria_id"":""698236c35c095b6cd25b046f"",""unit_cost"":0.377,""quantity"":3,""mercadoria_name"":""Fita plástica ""},{""mercadoria_id"":""69dd29bbb08cced82cc42890"",""unit_cost"":7,""quantity"":1,""mercadoria_name"":""Cesta oval 18""}]","58.958","{""other"":0,""labor"":0}","125","125.4798","Kit Sab+ creme+ necessrie","active","69f36b34e436acd39de4be0d","2026-04-30T14:46:12.131000","2026-04-30T14:46:12.131000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"50","1","","34.022666666666666","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/2144ae9eb_image.jpg","[]","[{""mercadoria_id"":""69ecaf2e927fc495940907e1"",""unit_cost"":16.666666666666668,""quantity"":1,""mercadoria_name"":""Hidra 100""},{""mercadoria_id"":""69dd2a887ec5154a9cc8c102"",""unit_cost"":2.19,""quantity"":1,""mercadoria_name"":""Seda ""},{""mercadoria_id"":""6980e8c705f349fb9ac3499a"",""unit_cost"":4.886,""quantity"":1,""mercadoria_name"":""Sabonetes avulso natura ""},{""mercadoria_id"":""69848af06b3793e39d349d0b"",""unit_cost"":0.48,""quantity"":1,""mercadoria_name"":""Mimo para vc ""},{""mercadoria_id"":""69654adc7e8c47107e46ce76"",""unit_cost"":9.8,""quantity"":1,""mercadoria_name"":""Fita de cetim gitex ""}]","16.977333333333334","{""other"":0,""labor"":0}","51","51.034","Kit hidra 100ml","active","69ecb06ded17a6d8d7affd51","2026-04-25T12:15:41.058000","2026-04-25T12:15:41.058000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"100","1","","28.024","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/a78d5b2df_image.jpg","[{""quantity"":1,""product_name"":""Mini difusor "",""product_id"":""69dd3829c8ac6a7a670068f8"",""cost_price"":10},{""quantity"":1,""product_name"":""Sabonete mãe "",""product_id"":""69dd37cb64fbcf97adb7e6f1"",""cost_price"":10},{""quantity"":1,""product_name"":""Mini sabonete "",""product_id"":""69809aa1583fc1dc59593161"",""cost_price"":1.96}]","[{""mercadoria_id"":""69824e0cc5a630bdc1bd7605"",""unit_cost"":2.91,""quantity"":1,""mercadoria_name"":""Caixa 10 x 15x 5 ""},{""mercadoria_id"":""696546423d5eec31be8fd890"",""unit_cost"":0.529,""quantity"":1,""mercadoria_name"":""Papel de seda 49x69""},{""mercadoria_id"":""69848acee9e6a0b83690e106"",""unit_cost"":0.16,""quantity"":1,""mercadoria_name"":""Feliz dian""},{""mercadoria_id"":""69d8fb8bfb2ff7afaa50771c"",""unit_cost"":4.93,""quantity"":0.5,""mercadoria_name"":""Fita juta ""}]","27.976","{""other"":0,""labor"":0}","56","56.048","Kit  mini difusor artesanal ","active","69ecadf1ae1f459972b0fcb2","2026-04-25T12:05:05.992000","2026-04-25T12:05:05.992000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"50","1","","124.83999999999999","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/b9c6512c1_image.jpg","[{""quantity"":1,""product_name"":""Creme de mão lily "",""product_id"":""69665799e96d0d892c443586"",""cost_price"":42.42},{""quantity"":1,""product_name"":""Antitranspirante lily"",""product_id"":""6966566ff92af3ca9af1a56f"",""cost_price"":33.91},{""quantity"":1,""product_name"":""Mini sabonete "",""product_id"":""69809aa1583fc1dc59593161"",""cost_price"":1.96}]","[{""mercadoria_id"":""69ebb59bec5926213ff596d1"",""unit_cost"":12,""quantity"":1,""mercadoria_name"":""Toalha ""},{""mercadoria_id"":""69dd27c1a182765e843d5df7"",""unit_cost"":18.432,""quantity"":1,""mercadoria_name"":""Bandeja coração ""},{""mercadoria_id"":""69823e4a134fe96b4fef4e4e"",""unit_cost"":7.84,""quantity"":2,""mercadoria_name"":""Sabonete avulso Boticário ""},{""mercadoria_id"":""696545a7e25ac39e77e46dcd"",""unit_cost"":0.43799999999999994,""quantity"":1,""mercadoria_name"":""Saco transparente 30x44 cm ""}]","62.16000000000001","{""other"":0,""labor"":0}","187","187.26","Kit lily com toalha ","active","69ebd6a2c6c1bdfb03d0c66e","2026-04-24T20:46:26.664000","2026-04-24T20:46:26.664000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"30","1","","109.59466666666665","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/0657f1ab5_image.jpg","[{""quantity"":1,""product_name"":""Hidra liz"",""product_id"":""69ebd1a01bb94281c0905394"",""cost_price"":63.66},{""quantity"":1,""product_name"":""Sab"",""product_id"":""69ebd1cfab57dc3089cfb1a3"",""cost_price"":13.52}]","[{""mercadoria_id"":""69dd38cb60957fd53ec39998"",""unit_cost"":11.598,""quantity"":1,""mercadoria_name"":""Bandeja""},{""mercadoria_id"":""698096838c29ffe6d7be6ab1"",""unit_cost"":8.996666666666666,""quantity"":1,""mercadoria_name"":""Porta joia ""},{""mercadoria_id"":""6978c5523e415b4f70b8307e"",""unit_cost"":1.8,""quantity"":1,""mercadoria_name"":""Fita de cetim ""},{""mercadoria_id"":""69848acee9e6a0b83690e106"",""unit_cost"":0.16,""quantity"":1,""mercadoria_name"":""Feliz dian""},{""mercadoria_id"":""69d8fb8bfb2ff7afaa50771c"",""unit_cost"":4.93,""quantity"":2,""mercadoria_name"":""Fita juta ""}]","32.405333333333346","{""other"":0,""labor"":0}","142","142.47306666666665","Kit liz ","active","69ebd286afff4ecdbf75d700","2026-04-24T20:28:54.152000","2026-04-24T20:28:54.152000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
