selling_price,code,last_movement_date,image_url,name,min_stock,category,stock_quantity,brand,cost_price,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"56.9","95704","","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/75b22fb65_image.jpg","Kit sabonete ","2","Outro","2","Eudora","37.43","em_estoque","69f35432befdea4fc20d88c0","2026-04-30T13:08:02.308000","2026-04-30T13:08:02.308000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"69.9","86465","","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/85023cbba_image.jpg","Kit de leite ","2","Outro","1","O Boticário","59.42","em_estoque","69f352a21a16571f1e545444","2026-04-30T13:01:22.536000","2026-04-30T13:01:22.536000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"209.9","84387","","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/d54599663_image.jpg","Colônia malbec","2","Masculino","1","O Boticário","157.16","em_estoque","69f352620a657d773881a0cd","2026-04-30T13:00:18.808000","2026-04-30T13:00:18.808000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"144.9","56219","","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/88f0dfda2_image.jpg","Colônia Club 6 ","2","Masculino","1","Eudora","89.92","em_estoque","69f35216b9d2fd7bd5f7a345","2026-04-30T12:59:02.796000","2026-04-30T12:59:02.796000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"27.9","","","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/961cec159_image.jpg","Sabonete facial ","2","Outro","1","Outro","13.99","em_estoque","69f0b1003d81600311801035","2026-04-28T13:07:12.872000","2026-04-28T13:07:12.872000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"37.9","","","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/9ffd2b399_image.jpg","Gel de banho ","2","Outro","1","Outro","18.97","em_estoque","69f0b0b83e5869ff977a2aa9","2026-04-28T13:06:00.504000","2026-04-28T13:06:00.504000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"44.9","","","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/88718466e_image.jpg","Esfoliante de bumbum ","2","Outro","1","Outro","22.39","em_estoque","69f0b08111522a232b2b5cd6","2026-04-28T13:05:05.149000","2026-04-28T13:05:05.149000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"39.8","","","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/df910d3a2_image.jpg","Hidratante noturno ","2","Outro","2","Outro","19.9","em_estoque","69f0afe700ca5892654bf5ba","2026-04-28T13:02:31.176000","2026-04-28T13:02:31.176000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"49.9","","","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/b0b28d93a_image.jpg","Espuma facial ","2","Outro","1","Outro","23.9","em_estoque","69f0af8f52c2c763d7de05dd","2026-04-28T13:01:03.174000","2026-04-28T13:01:03.174000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"19.9","","","https://base44.app/api/apps/695c5f50ab63f5b9b84216d1/files/mp/public/695c5f50ab63f5b9b84216d1/d2b882140_image.jpg","Óleo capilar ","2","Outro","3","Outro","8.99","em_estoque","69f0adc8f98f657655d51f7e","2026-04-28T12:53:28.154000","2026-04-28T12:53:28.154000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
