notes,total_cost,total_amount,sale_date,sale_type,customer_name,customer_id,items,profit,payment_method,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"","28.576666666666668","47","2026-05-15T12:36:36.788Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":47,""product_name"":""Kit creme de mão "",""subtotal"":47,""product_id"":""6989e559d105eac2208b8aa3"",""cost_price"":28.576666666666668}]","18.423333333333332","pix","concluida","6a071355b02cebd1580ff1b0","2026-05-15T12:36:37.131000","2026-05-15T12:36:37.131000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","322.03799999999995","630","2026-05-15T12:34:59.537Z","pronta_entrega","","","[{""quantity"":9,""unit_price"":70,""product_name"":""Cesta geleia "",""subtotal"":630,""product_id"":""6982383f03b89d032d7dde5f"",""cost_price"":35.782}]","307.96200000000005","cartao","concluida","6a0712f3a87a86a7bd144773","2026-05-15T12:34:59.783000","2026-05-15T12:34:59.783000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","37.98","78.9","2026-05-15T12:33:41.247Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":78.9,""product_name"":""Hidratante algodão 400ml"",""subtotal"":78.9,""product_id"":""69d68e270259c248ac2c12b0"",""cost_price"":37.98}]","40.92000000000001","dinheiro","concluida","6a0712a565fa125db839009b","2026-05-15T12:33:41.490000","2026-05-15T12:33:41.490000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","115.54500000000002","196","2026-05-05T20:51:26.967Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":196,""product_name"":""Kit Boticário com toalha "",""subtotal"":196,""product_id"":""69ebd032b3d3cab1112303b4"",""cost_price"":115.54500000000002}]","80.45499999999998","cartao","concluida","69fa584feaa3fdb3ff8e6023","2026-05-05T20:51:27.204000","2026-05-05T20:51:27.204000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","16.898","50","2026-04-29T13:37:16.625Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":50,""product_name"":""Kit Xícara com creme de mão e mini "",""subtotal"":50,""product_id"":""69e135c4e7d0109b7a4c043d"",""cost_price"":16.898}]","33.102000000000004","pix","concluida","69f2098d9528b27b7a555ff4","2026-04-29T13:37:17.147000","2026-04-29T13:37:17.147000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","29.777","69","2026-04-29T13:35:11.516Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":69,""product_name"":""Kit com balão natura 200ml"",""subtotal"":69,""product_id"":""69eba98e0e2cd234b2c51b2c"",""cost_price"":29.777}]","39.223","cartao","concluida","69f2090fd9c379244eae0494","2026-04-29T13:35:11.720000","2026-04-29T13:35:11.720000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","16","27","2026-04-29T13:34:41.677Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":27,""product_name"":""Geleia de banho blumem"",""subtotal"":27,""product_id"":""698098262defc18877125755"",""cost_price"":16}]","11","cartao","concluida","69f208f148ade24e5ed0f596","2026-04-29T13:34:41.918000","2026-04-29T13:34:41.918000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","10","19.9","2026-04-29T13:34:11.570Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":19.9,""product_name"":""Mini difusor "",""subtotal"":19.9,""product_id"":""69dd3829c8ac6a7a670068f8"",""cost_price"":10}]","9.899999999999999","cartao","concluida","69f208d36386fce1616f6f46","2026-04-29T13:34:11.830000","2026-04-29T13:34:11.830000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","73.87","174.9","2026-04-29T13:33:50.064Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":174.9,""product_name"":""Colônia Quasar Rush "",""subtotal"":174.9,""product_id"":""6967f4aa1a9bae18132bc8ec"",""cost_price"":73.87}]","101.03","pix","concluida","69f208bea31aa528d3764d69","2026-04-29T13:33:50.354000","2026-04-29T13:33:50.354000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","82.43","169.9","2026-04-29T13:33:17.905Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":169.9,""product_name"":""Colônia lyra 75ml"",""subtotal"":169.9,""product_id"":""6964f18e76d8df73588db2f5"",""cost_price"":82.43}]","87.47","dinheiro","concluida","69f2089eeb5ba59e2c989588","2026-04-29T13:33:18.179000","2026-04-29T13:33:18.179000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
